Element Type,Element Name,Description,Identifier,Data Type
Type,,The status of the app subscription.,Type: ,N/A
Enum Value,PENDING,The app subscription is pending approval by the merchant.,"Type: , Enum Value: PENDING",N/A
Enum Value,ACCEPTED,The app subscription has been approved by the merchant and is ready to be activated by the app.,"Type: , Enum Value: ACCEPTED",N/A
Enum Value,ACTIVE,"The app subscription has been approved by the merchant. Active app subscriptions are billed to the shop. After payment, partners receive payouts.","Type: , Enum Value: ACTIVE",N/A
Enum Value,DECLINED,The app subscription was declined by the merchant. This is a terminal state.,"Type: , Enum Value: DECLINED",N/A
Enum Value,EXPIRED,The app subscription wasn't approved by the merchant within two days of being created. This is a terminal state.,"Type: , Enum Value: EXPIRED",N/A
Enum Value,FROZEN,The app subscription is on hold due to non-payment. The subscription re-activates after payments resume.,"Type: , Enum Value: FROZEN",N/A
Enum Value,CANCELLED,"The app subscription was cancelled by the app. This could be caused by the app being uninstalled, a new app subscription being activated, or a direct cancellation by the app. This is a terminal state.","Type: , Enum Value: CANCELLED",N/A
Type,,Return type for `appSubscriptionTrialExtend` mutation.,Type: ,N/A
Field,appSubscription,The app subscription that had its trial extended.,"Type: , Field: appSubscription",#<Class:0x0000000100aed980>
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x00000001068f1b30>
Type,,An error that occurs during the execution of `AppSubscriptionTrialExtend`.,Type: ,N/A
Field,code,The error code.,"Type: , Field: code",#<Class:0x0000000100a8fc90>
Field,field,The path to the input field that caused the error.,"Type: , Field: field",#<GraphQL::Schema::List:0x0000000104c35f28>
Field,message,The error message.,"Type: , Field: message",#<GraphQL::Schema::NonNull:0x0000000104c35cd0>
Type,,Possible error codes that can be returned by `AppSubscriptionTrialExtendUserError`.,Type: ,N/A
Enum Value,SUBSCRIPTION_NOT_FOUND,The app subscription wasn't found.,"Type: , Enum Value: SUBSCRIPTION_NOT_FOUND",N/A
Enum Value,TRIAL_NOT_ACTIVE,The trial isn't active.,"Type: , Enum Value: TRIAL_NOT_ACTIVE",N/A
Enum Value,SUBSCRIPTION_NOT_ACTIVE,The app subscription isn't active.,"Type: , Enum Value: SUBSCRIPTION_NOT_ACTIVE",N/A
Type,,The set of valid sort keys for the AppTransaction query.,Type: ,N/A
Enum Value,CREATED_AT,Sort by the `created_at` value.,"Type: , Enum Value: CREATED_AT",N/A
Enum Value,ID,Sort by the `id` value.,"Type: , Enum Value: ID",N/A
Enum Value,RELEVANCE,"Sort by relevance to the search terms when the `query` parameter is specified on the connection.
Don't use this sort key when no search query is specified.
","Type: , Enum Value: RELEVANCE",N/A
Type,,"Defines a usage pricing model for the app subscription.
These charges are variable based on how much the merchant uses the app.
",Type: ,N/A
Field,balanceUsed,The total usage records for interval.,"Type: , Field: balanceUsed",#<GraphQL::Schema::NonNull:0x00000001068f67c0>
Field,cappedAmount,"The capped amount prevents the merchant from being charged for any usage over that amount during a billing period.
This prevents billing from exceeding a maximum threshold over the duration of the billing period.
For the merchant to continue using the app after exceeding a capped amount, they would need to agree to a new usage charge.
","Type: , Field: cappedAmount",#<GraphQL::Schema::NonNull:0x00000001068f67c0>
Field,interval,The frequency with which the app usage records are billed.,"Type: , Field: interval",#<GraphQL::Schema::NonNull:0x0000000104c341f0>
Field,terms,"The terms and conditions for app usage pricing.
Must be present in order to create usage charges.
The terms are presented to the merchant when they approve an app's usage charges.
","Type: , Field: terms",#<GraphQL::Schema::NonNull:0x0000000104c33f98>
Type,,The input fields to issue arbitrary charges for app usage associated with a subscription.,Type: ,N/A
Type,,Store usage for app subscriptions with usage pricing.,Type: ,N/A
Field,createdAt,The date and time when the usage record was created.,"Type: , Field: createdAt",#<GraphQL::Schema::NonNull:0x00000001068fbd38>
Field,description,The description of the app usage record.,"Type: , Field: description",#<GraphQL::Schema::NonNull:0x0000000104c320a8>
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x0000000104c31e50>
Field,idempotencyKey,"A unique key generated by the client to avoid duplicate charges.
","Type: , Field: idempotencyKey",GraphQL::Types::String
Field,price,The price of the usage record.,"Type: , Field: price",#<GraphQL::Schema::NonNull:0x00000001068f67c0>
Field,subscriptionLineItem,Defines the usage pricing plan the merchant is subscribed to.,"Type: , Field: subscriptionLineItem",#<GraphQL::Schema::NonNull:0x0000000104c31608>
Type,,"An auto-generated type for paginating through multiple AppUsageRecords.
",Type: ,N/A
Field,edges,A list of edges.,"Type: , Field: edges",#<GraphQL::Schema::NonNull:0x00000001068f1090>
Field,nodes,A list of the nodes contained in AppUsageRecordEdge.,"Type: , Field: nodes",#<GraphQL::Schema::NonNull:0x0000000104c30b68>
Field,pageInfo,Information to aid in pagination.,"Type: , Field: pageInfo",#<GraphQL::Schema::NonNull:0x00000001068f6888>
Type,,Return type for `appUsageRecordCreate` mutation.,Type: ,N/A
Field,appUsageRecord,The newly created app usage record.,"Type: , Field: appUsageRecord",#<Class:0x0000000100a8dcb0>
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x00000001068f5e38>
Type,,"An auto-generated type which holds one AppUsageRecord and a cursor during pagination.
",Type: ,N/A
Field,cursor,A cursor for use in pagination.,"Type: , Field: cursor",#<GraphQL::Schema::NonNull:0x0000000104c7f740>
Field,node,The item at the end of AppUsageRecordEdge.,"Type: , Field: node",#<GraphQL::Schema::NonNull:0x0000000104c7f380>
Type,,The set of valid sort keys for the AppUsageRecord query.,Type: ,N/A
Enum Value,CREATED_AT,Sort by the `created_at` value.,"Type: , Enum Value: CREATED_AT",N/A
Enum Value,ID,Sort by the `id` value.,"Type: , Enum Value: ID",N/A
Enum Value,RELEVANCE,"Sort by relevance to the search terms when the `query` parameter is specified on the connection.
Don't use this sort key when no search query is specified.
","Type: , Enum Value: RELEVANCE",N/A
Type,,Represents a generic custom attribute.,Type: ,N/A
Field,key,Key or name of the attribute.,"Type: , Field: key",#<GraphQL::Schema::NonNull:0x0000000104c7e8b8>
Field,value,Value of the attribute.,"Type: , Field: value",GraphQL::Types::String
Type,,The input fields for an attribute.,Type: ,N/A
Type,,"Automatic discount applications capture the intentions of a discount that was automatically applied.
",Type: ,N/A
Field,allocationMethod,The method by which the discount's value is applied to its entitled items.,"Type: , Field: allocationMethod",#<GraphQL::Schema::NonNull:0x00000001068f0f00>
Field,index,"An ordered index that can be used to identify the discount application and indicate the precedence
of the discount application for calculations.
","Type: , Field: index",#<GraphQL::Schema::NonNull:0x0000000104c7c888>
Field,targetSelection,How the discount amount is distributed on the discounted lines.,"Type: , Field: targetSelection",#<GraphQL::Schema::NonNull:0x00000001068f0e38>
Field,targetType,Whether the discount is applied on line items or shipping lines.,"Type: , Field: targetType",#<GraphQL::Schema::NonNull:0x00000001068f5fa0>
Field,title,The title of the discount application.,"Type: , Field: title",#<GraphQL::Schema::NonNull:0x0000000104c7be60>
Field,value,The value of the discount application.,"Type: , Field: value",#<GraphQL::Schema::NonNull:0x00000001068f0d20>
Type,,The set of valid sort keys for the AutomaticDiscount query.,Type: ,N/A
Enum Value,CREATED_AT,Sort by the `created_at` value.,"Type: , Enum Value: CREATED_AT",N/A
Enum Value,ID,Sort by the `id` value.,"Type: , Enum Value: ID",N/A
Enum Value,RELEVANCE,"Sort by relevance to the search terms when the `query` parameter is specified on the connection.
Don't use this sort key when no search query is specified.
","Type: , Enum Value: RELEVANCE",N/A
Type,,"Represents an object containing all information for channels available to a shop.
",Type: ,N/A
Field,channelDefinitions,The channel definitions for channels installed on a shop.,"Type: , Field: channelDefinitions",#<GraphQL::Schema::NonNull:0x00000001068f07a8>
Field,channelName,The name of the channel.,"Type: , Field: channelName",#<GraphQL::Schema::NonNull:0x0000000104c7abf0>
Type,,The possible types for a badge.,Type: ,N/A
Enum Value,DEFAULT,This badge has type `default`.,"Type: , Enum Value: DEFAULT",N/A
Enum Value,SUCCESS,This badge has type `success`.,"Type: , Enum Value: SUCCESS",N/A
Enum Value,ATTENTION,This badge has type `attention`.,"Type: , Enum Value: ATTENTION",N/A
Enum Value,WARNING,This badge has type `warning`.,"Type: , Enum Value: WARNING",N/A
Enum Value,INFO,This badge has type `info`.,"Type: , Enum Value: INFO",N/A
Type,,"Basic events chronicle resource activities such as the creation of an article, the fulfillment of an order, or
the addition of a product.
",Type: ,N/A
Field,appTitle,The name of the app that created the event.,"Type: , Field: appTitle",GraphQL::Types::String
Field,attributeToApp,Whether the event was created by an app.,"Type: , Field: attributeToApp",#<GraphQL::Schema::NonNull:0x0000000104c79570>
Field,attributeToUser,Whether the event was caused by an admin user.,"Type: , Field: attributeToUser",#<GraphQL::Schema::NonNull:0x0000000104c79110>
Field,createdAt,The date and time when the event was created.,"Type: , Field: createdAt",#<GraphQL::Schema::NonNull:0x00000001068fbd38>
Field,criticalAlert,Whether the event is critical.,"Type: , Field: criticalAlert",#<GraphQL::Schema::NonNull:0x0000000104c78918>
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x0000000104c78508>
Field,message,Human readable text that describes the event.,"Type: , Field: message",#<GraphQL::Schema::NonNull:0x00000001068f0690>
Type,,Represents an error that happens during the execution of a billing attempt mutation.,Type: ,N/A
Field,code,The error code.,"Type: , Field: code",#<Class:0x0000000100a897f0>
Field,field,The path to the input field that caused the error.,"Type: , Field: field",#<GraphQL::Schema::List:0x0000000104c778d8>
Field,message,The error message.,"Type: , Field: message",#<GraphQL::Schema::NonNull:0x0000000104c77680>
Type,,Possible error codes that can be returned by `BillingAttemptUserError`.,Type: ,N/A
Enum Value,INVALID,The input value is invalid.,"Type: , Enum Value: INVALID",N/A
Enum Value,BLANK,The input value is blank.,"Type: , Enum Value: BLANK",N/A
Enum Value,CONTRACT_NOT_FOUND,Subscription contract does not exist.,"Type: , Enum Value: CONTRACT_NOT_FOUND",N/A
Enum Value,ORIGIN_TIME_BEFORE_CONTRACT_CREATION,Origin time cannot be before the contract creation time.,"Type: , Enum Value: ORIGIN_TIME_BEFORE_CONTRACT_CREATION",N/A
Enum Value,UPCOMING_CYCLE_LIMIT_EXCEEDED,Billing cycle selector cannot select upcoming billing cycle past limit.,"Type: , Enum Value: UPCOMING_CYCLE_LIMIT_EXCEEDED",N/A
Enum Value,CYCLE_INDEX_OUT_OF_RANGE,Billing cycle selector cannot select billing cycle outside of index range.,"Type: , Enum Value: CYCLE_INDEX_OUT_OF_RANGE",N/A
Enum Value,CYCLE_START_DATE_OUT_OF_RANGE,Billing cycle selector cannot select billing cycle outside of start date range.,"Type: , Enum Value: CYCLE_START_DATE_OUT_OF_RANGE",N/A
Enum Value,ORIGIN_TIME_OUT_OF_RANGE,Origin time needs to be within the selected billing cycle's start and end at date.,"Type: , Enum Value: ORIGIN_TIME_OUT_OF_RANGE",N/A
Type,,Possible error codes that can be returned by `BulkMutationUserError`.,Type: ,N/A
Enum Value,OPERATION_IN_PROGRESS,The operation did not run because another bulk mutation is already running. [Wait for the operation to finish](https://shopify.dev/api/usage/bulk-operations/imports#wait-for-the-operation-to-finish) before retrying this operation.,"Type: , Enum Value: OPERATION_IN_PROGRESS",N/A
Enum Value,INVALID_MUTATION,The operation did not run because the mutation is invalid. Check your mutation syntax and try again.,"Type: , Enum Value: INVALID_MUTATION",N/A
Enum Value,INVALID_STAGED_UPLOAD_FILE,The JSONL file submitted via the `stagedUploadsCreate` mutation is invalid. Update the file and try again.,"Type: , Enum Value: INVALID_STAGED_UPLOAD_FILE",N/A
Enum Value,NO_SUCH_FILE,"The JSONL file could not be found. Try [uploading the file](https://shopify.dev/api/usage/bulk-operations/imports#generate-the-uploaded-url-and-parameters) again, and check that you've entered the URL correctly for the `stagedUploadPath` mutation argument.","Type: , Enum Value: NO_SUCH_FILE",N/A
Enum Value,INTERNAL_FILE_SERVER_ERROR,"There was a problem reading the JSONL file. This error might be intermittent, so you can try performing the same query again.","Type: , Enum Value: INTERNAL_FILE_SERVER_ERROR",N/A
Type,,Represents an error that happens during execution of a bulk mutation.,Type: ,N/A
Field,code,The error code.,"Type: , Field: code",#<Class:0x0000000100a894d0>
Field,field,The path to the input field that caused the error.,"Type: , Field: field",#<GraphQL::Schema::List:0x0000000104c75858>
Field,message,The error message.,"Type: , Field: message",#<GraphQL::Schema::NonNull:0x0000000104c75600>
Type,,"An asynchronous long-running operation to fetch data in bulk or to bulk import data.

Bulk operations are created using the `bulkOperationRunQuery` or `bulkOperationRunMutation` mutation. After
they are created, clients should poll the `status` field for updates. When `COMPLETED`, the `url` field contains
a link to the data in [JSONL](http://jsonlines.org/) format.

Refer to the [bulk operations guide](https://shopify.dev/api/usage/bulk-operations/imports) for more details.
",Type: ,N/A
Field,completedAt,When the bulk operation was successfully completed.,"Type: , Field: completedAt",#<Class:0x0000000100b73d50>
Field,createdAt,When the bulk operation was created.,"Type: , Field: createdAt",#<GraphQL::Schema::NonNull:0x00000001068fbd38>
Field,errorCode,Error code for failed operations.,"Type: , Field: errorCode",#<Class:0x0000000100a88710>
Field,fileSize,File size in bytes of the file in the `url` field.,"Type: , Field: fileSize",#<Class:0x00000001064dbf50>
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x0000000104c73f30>
Field,objectCount,"A running count of all the objects processed.
For example, when fetching all the products and their variants, this field counts both products and variants.
This field can be used to track operation progress.
","Type: , Field: objectCount",#<GraphQL::Schema::NonNull:0x000000010693f3d0>
Field,partialDataUrl,"The URL that points to the partial or incomplete response data (in [JSONL](http://jsonlines.org/) format) that was returned by a failed operation.
The URL expires 7 days after the operation fails. Returns `null` when there's no data available.
","Type: , Field: partialDataUrl",#<Class:0x0000000106516c40>
Field,query,GraphQL query document specified in `bulkOperationRunQuery`.,"Type: , Field: query",#<GraphQL::Schema::NonNull:0x0000000104c73440>
Field,rootObjectCount,"A running count of all the objects that are processed at the root of the query.
For example, when fetching all the products and their variants, this field only counts products.
This field can be used to track operation progress.
","Type: , Field: rootObjectCount",#<GraphQL::Schema::NonNull:0x000000010693f3d0>
Field,status,Status of the bulk operation.,"Type: , Field: status",#<GraphQL::Schema::NonNull:0x000000010693f290>
Field,type,The bulk operation's type.,"Type: , Field: type",#<GraphQL::Schema::NonNull:0x000000010693f1a0>
Field,url,"The URL that points to the response data in [JSONL](http://jsonlines.org/) format.
The URL expires 7 days after the operation completes.
","Type: , Field: url",#<Class:0x0000000106516c40>
Type,,Return type for `bulkOperationCancel` mutation.,Type: ,N/A
Field,bulkOperation,The bulk operation to be canceled.,"Type: , Field: bulkOperation",#<Class:0x0000000100a88df0>
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x00000001068f5e38>
Type,,Error codes for failed bulk operations.,Type: ,N/A
Enum Value,ACCESS_DENIED,"The provided operation `query` returned access denied due to missing
[access scopes](https://shopify.dev/api/usage/access-scopes).
Review the requested object permissions and execute the query as a normal non-bulk GraphQL request to see more details.
","Type: , Enum Value: ACCESS_DENIED",N/A
Enum Value,INTERNAL_SERVER_ERROR,"The operation resulted in partial or incomplete data due to internal server errors during execution.
These errors might be intermittent, so you can try performing the same query again.
","Type: , Enum Value: INTERNAL_SERVER_ERROR",N/A
Enum Value,TIMEOUT,"The operation resulted in partial or incomplete data due to query timeouts during execution.
In some cases, timeouts can be avoided by modifying your `query` to select fewer fields.
","Type: , Enum Value: TIMEOUT",N/A
Type,,Return type for `bulkOperationRunMutation` mutation.,Type: ,N/A
Field,bulkOperation,The newly created bulk operation.,"Type: , Field: bulkOperation",#<Class:0x0000000100a88df0>
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x0000000104c70bc8>
Type,,Return type for `bulkOperationRunQuery` mutation.,Type: ,N/A
Field,bulkOperation,The newly created bulk operation.,"Type: , Field: bulkOperation",#<Class:0x0000000100a88df0>
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x00000001068f5e38>
Type,,The valid values for the status of a bulk operation.,Type: ,N/A
Enum Value,CANCELED,The bulk operation has been canceled.,"Type: , Enum Value: CANCELED",N/A
Enum Value,CANCELING,"Cancelation has been initiated on the bulk operation. There may be a short delay from when a cancelation
starts until the operation is actually canceled.
","Type: , Enum Value: CANCELING",N/A
Enum Value,COMPLETED,The bulk operation has successfully completed.,"Type: , Enum Value: COMPLETED",N/A
Enum Value,CREATED,The bulk operation has been created.,"Type: , Enum Value: CREATED",N/A
Enum Value,EXPIRED,The bulk operation URL has expired.,"Type: , Enum Value: EXPIRED",N/A
Enum Value,FAILED,"The bulk operation has failed. For information on why the operation failed, use
[BulkOperation.errorCode](https://shopify.dev/api/admin-graphql/latest/enums/bulkoperationerrorcode).
","Type: , Enum Value: FAILED",N/A
Enum Value,RUNNING,The bulk operation is runnning.,"Type: , Enum Value: RUNNING",N/A
Type,,The valid values for the bulk operation's type.,Type: ,N/A
Enum Value,QUERY,The bulk operation is a query.,"Type: , Enum Value: QUERY",N/A
Enum Value,MUTATION,The bulk operation is a mutation.,"Type: , Enum Value: MUTATION",N/A
Type,,Return type for `bulkProductResourceFeedbackCreate` mutation.,Type: ,N/A
Field,feedback,The feedback that is created.,"Type: , Field: feedback",#<GraphQL::Schema::List:0x000000010693ec00>
Field,userErrors,The list of errors that occurred from executing the mutation.,"Type: , Field: userErrors",#<GraphQL::Schema::NonNull:0x000000010693eae8>
Type,,An error that occurs during the execution of `BulkProductResourceFeedbackCreate`.,Type: ,N/A
Field,code,The error code.,"Type: , Field: code",#<Class:0x0000000100a86870>
Field,field,The path to the input field that caused the error.,"Type: , Field: field",#<GraphQL::Schema::List:0x0000000104c9db00>
Field,message,The error message.,"Type: , Field: message",#<GraphQL::Schema::NonNull:0x0000000104c9d8a8>
Type,,Possible error codes that can be returned by `BulkProductResourceFeedbackCreateUserError`.,Type: ,N/A
Enum Value,MAXIMUM_FEEDBACK_LIMIT_EXCEEDED,The operation was attempted on too many feedback objects. The maximum number of feedback objects that you can operate on is 50.,"Type: , Enum Value: MAXIMUM_FEEDBACK_LIMIT_EXCEEDED",N/A
Enum Value,OUTDATED_FEEDBACK,The feedback for a later version of this resource was already accepted.,"Type: , Enum Value: OUTDATED_FEEDBACK",N/A
Enum Value,PRODUCT_NOT_FOUND,The product wasn't found or isn't available to the channel.,"Type: , Enum Value: PRODUCT_NOT_FOUND",N/A
Enum Value,INVALID,The input value is invalid.,"Type: , Enum Value: INVALID",N/A
Enum Value,BLANK,The input value is blank.,"Type: , Enum Value: BLANK",N/A
Enum Value,PRESENT,The input value needs to be blank.,"Type: , Enum Value: PRESENT",N/A
Enum Value,LESS_THAN_OR_EQUAL_TO,The input value should be less than or equal to the maximum value allowed.,"Type: , Enum Value: LESS_THAN_OR_EQUAL_TO",N/A
Type,,"Represents the Bundles feature configuration for the shop.
",Type: ,N/A
Field,eligibleForBundles,Whether a shop is configured properly to sell bundles.,"Type: , Field: eligibleForBundles",#<GraphQL::Schema::NonNull:0x0000000104c9c958>
Field,ineligibilityReason,The reason why a shop is not eligible for bundles.,"Type: , Field: ineligibilityReason",GraphQL::Types::String
Field,sellsBundles,Whether a shop has any fixed bundle products or has a cartTransform function installed.,"Type: , Field: sellsBundles",#<GraphQL::Schema::NonNull:0x0000000104c9c138>
Type,,Possible error codes that can be returned by `BusinessCustomerUserError`.,Type: ,N/A
Enum Value,INTERNAL_ERROR,An internal error occurred.,"Type: , Enum Value: INTERNAL_ERROR",N/A
Enum Value,RESOURCE_NOT_FOUND,The resource wasn't found.,"Type: , Enum Value: RESOURCE_NOT_FOUND",N/A
Enum Value,FAILED_TO_DELETE,Deleting the resource failed.,"Type: , Enum Value: FAILED_TO_DELETE",N/A
Enum Value,REQUIRED,Missing a required field.,"Type: , Enum Value: REQUIRED",N/A
Enum Value,NO_INPUT,The input is empty.,"Type: , Enum Value: NO_INPUT",N/A
Enum Value,INVALID_INPUT,The input is invalid.,"Type: , Enum Value: INVALID_INPUT",N/A
Enum Value,UNEXPECTED_TYPE,Unexpected type.,"Type: , Enum Value: UNEXPECTED_TYPE",N/A
Enum Value,TOO_LONG,The field value is too long.,"Type: , Enum Value: TOO_LONG",N/A
Enum Value,LIMIT_REACHED,The number of resources exceeded the limit.,"Type: , Enum Value: LIMIT_REACHED",N/A
Enum Value,INVALID,The input value is invalid.,"Type: , Enum Value: INVALID",N/A
Enum Value,BLANK,The input value is blank.,"Type: , Enum Value: BLANK",N/A
Enum Value,TAKEN,The input value is already taken.,"Type: , Enum Value: TAKEN",N/A
Type,,An error that happens during the execution of a business customer mutation.,Type: ,N/A
Field,code,The error code.,"Type: , Field: code",#<Class:0x0000000100a860f0>
Field,field,The path to the input field that caused the error.,"Type: , Field: field",#<GraphQL::Schema::List:0x0000000104c9a478>
Field,message,The error message.,"Type: , Field: message",#<GraphQL::Schema::NonNull:0x0000000104c9a220>
Type,,Settings describing the behavior of checkout for a B2B buyer.,Type: ,N/A
Field,checkoutToDraft,Whether to checkout to draft order for merchant review.,"Type: , Field: checkoutToDraft",#<GraphQL::Schema::NonNull:0x0000000104c99d98>
Field,editableShippingAddress,Whether to allow customers to use editable shipping addresses.,"Type: , Field: editableShippingAddress",#<GraphQL::Schema::NonNull:0x0000000104c997d0>
Field,payNowOnly,"Whether a buyer must pay at checkout or they can also choose to pay
later using net terms.
","Type: , Field: payNowOnly",#<GraphQL::Schema::NonNull:0x0000000104c99438>
Field,paymentTermsTemplate,Represents the merchant configured payment terms.,"Type: , Field: paymentTermsTemplate",#<Class:0x0000000105438c20>
Type,,The input fields specifying the behavior of checkout for a B2B buyer.,Type: ,N/A
Type,,"A discount that is automatically applied to an order that is being edited.
",Type: ,N/A
Field,allocationMethod,The method by which the discount's value is allocated to its entitled items.,"Type: , Field: allocationMethod",#<GraphQL::Schema::NonNull:0x00000001068f0f00>
Field,appliedTo,The level at which the discount was applied.,"Type: , Field: appliedTo",#<GraphQL::Schema::NonNull:0x000000010693e1b0>
Field,description,The description of discount application. Indicates the reason why the discount was applied.,"Type: , Field: description",GraphQL::Types::String
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x0000000104c96080>
Field,targetSelection,How the discount amount is distributed on the discounted lines.,"Type: , Field: targetSelection",#<GraphQL::Schema::NonNull:0x00000001068f0e38>
Field,targetType,Whether the discount is applied on line items or shipping lines.,"Type: , Field: targetType",#<GraphQL::Schema::NonNull:0x00000001068f5fa0>
Field,value,The value of the discount application.,"Type: , Field: value",#<GraphQL::Schema::NonNull:0x00000001068f0d20>
Type,,"An amount discounting the line that has been allocated by an associated discount application.
",Type: ,N/A
Field,allocatedAmountSet,The money amount that's allocated by the discount application in shop and presentment currencies.,"Type: , Field: allocatedAmountSet",#<GraphQL::Schema::NonNull:0x00000001068fcbe8>
Field,discountApplication,The discount that the allocated amount originated from.,"Type: , Field: discountApplication",#<GraphQL::Schema::NonNull:0x000000010693daf8>
Type,,"A [discount application](https://shopify.dev/api/admin-graphql/latest/interfaces/discountapplication) involved in order editing that might be newly added or have new changes applied.
",Type: ,N/A
Field,allocationMethod,The method by which the discount's value is allocated to its entitled items.,"Type: , Field: allocationMethod",#<GraphQL::Schema::NonNull:0x00000001068f0f00>
Field,appliedTo,The level at which the discount was applied.,"Type: , Field: appliedTo",#<GraphQL::Schema::NonNull:0x000000010693e1b0>
Field,description,The description of discount application. Indicates the reason why the discount was applied.,"Type: , Field: description",GraphQL::Types::String
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x0000000104c93768>
Field,targetSelection,How the discount amount is distributed on the discounted lines.,"Type: , Field: targetSelection",#<GraphQL::Schema::NonNull:0x00000001068f0e38>
Field,targetType,Whether the discount is applied on line items or shipping lines.,"Type: , Field: targetType",#<GraphQL::Schema::NonNull:0x00000001068f5fa0>
Field,value,The value of the discount application.,"Type: , Field: value",#<GraphQL::Schema::NonNull:0x00000001068f0d20>
Type,,"An auto-generated type for paginating through multiple CalculatedDiscountApplications.
",Type: ,N/A
Field,edges,A list of edges.,"Type: , Field: edges",#<GraphQL::Schema::NonNull:0x000000010693d850>
Field,nodes,A list of the nodes contained in CalculatedDiscountApplicationEdge.,"Type: , Field: nodes",#<GraphQL::Schema::NonNull:0x0000000104c922a0>
Field,pageInfo,Information to aid in pagination.,"Type: , Field: pageInfo",#<GraphQL::Schema::NonNull:0x00000001068f6888>
Type,,"An auto-generated type which holds one CalculatedDiscountApplication and a cursor during pagination.
",Type: ,N/A
Field,cursor,A cursor for use in pagination.,"Type: , Field: cursor",#<GraphQL::Schema::NonNull:0x0000000104c91a80>
Field,node,The item at the end of CalculatedDiscountApplicationEdge.,"Type: , Field: node",#<GraphQL::Schema::NonNull:0x0000000104c916c0>
Type,,"A discount code that is applied to an order that is being edited.
",Type: ,N/A
Field,allocationMethod,The method by which the discount's value is allocated to its entitled items.,"Type: , Field: allocationMethod",#<GraphQL::Schema::NonNull:0x00000001068f0f00>
Field,appliedTo,The level at which the discount was applied.,"Type: , Field: appliedTo",#<GraphQL::Schema::NonNull:0x000000010693e1b0>
Field,code,The string identifying the discount code that was used at the time of application.,"Type: , Field: code",#<GraphQL::Schema::NonNull:0x0000000104c90518>
Field,description,The description of discount application. Indicates the reason why the discount was applied.,"Type: , Field: description",GraphQL::Types::String
Field,id,A globally-unique ID.,"Type: , Field: id",#<GraphQL::Schema::NonNull:0x0000000104c90090>
Field,targetSelection,How the discount amount is distributed on the discounted lines.,"Type: , Field: targetSelection",#<GraphQL::Schema::NonNull:0x00000001068f0e38>
Field,targetType,Whether the discount is applied on line items or shipping lines.,"Type: , Field: targetType",#<GraphQL::Schema::NonNull:0x00000001068f5fa0>
Field,value,The value of the discount application.,"Type: , Field: value",#<GraphQL::Schema::NonNull:0x00000001068f0d20>
Type,,The computed properties for a draft order.,Type: ,N/A
Field,appliedDiscount,Order-level discount applied to the draft order.,"Type: , Field: appliedDiscount",#<Class:0x000000010557c640>
Field,availableShippingRates,The available shipping rates for the draft order. Requires a customer with a valid shipping address and at least one line item.,"Type: , Field: availableShippingRates",#<GraphQL::Schema::NonNull:0x000000010693d508>
Field,billingAddressMatchesShippingAddress,Whether the billing address matches the shipping address.,"Type: , Field: billingAddressMatchesShippingAddress",#<GraphQL::Schema::NonNull:0x0000000104cde8d0>
Field,currencyCode,The currency of the store for this draft order.,"Type: , Field: currencyCode",#<GraphQL::Schema::NonNull:0x000000010693d418>
Field,customer,"Customer who will be sent an invoice for the draft order, if there is one.","Type: , Field: customer",#<Class:0x0000000100b70150>
Field,lineItems,Line items in the draft order with their computed properties.,"Type: , Field: lineItems",#<GraphQL::Schema::NonNull:0x000000010693d2d8>
Field,lineItemsSubtotalPrice,"A subtotal of the line items and corresponding discounts. The subtotal doesn't include shipping charges, shipping discounts, taxes, or order discounts.","Type: , Field: lineItemsSubtotalPrice",#<GraphQL::Schema::NonNull:0x00000001068fcbe8>
Field,marketName,The name of the selected market.,"Type: , Field: marketName",#<GraphQL::Schema::NonNull:0x0000000104cdd610>
Field,marketRegionCountryCode,The selected market region country code for the draft order.,"Type: , Field: marketRegionCountryCode",#<GraphQL::Schema::NonNull:0x000000010693d198>
Field,phone,Phone number assigned to draft order.,"Type: , Field: phone",GraphQL::Types::String
Field,presentmentCurrencyCode,The payment currency of the customer for this draft order.,"Type: , Field: presentmentCurrencyCode",#<GraphQL::Schema::NonNull:0x000000010693d418>
Field,purchasingEntity,The purchasing entity for the draft order.,"Type: , Field: purchasingEntity",#<Class:0x0000000105f32090>
Field,shippingLine,Line item that contains the shipping costs.,"Type: , Field: shippingLine",#<Class:0x0000000106657d20>
